Name;Type;Level;Source;category;points;Mapping_OK
Abandoned Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Abandoned Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Ancient Bastion Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Ancient Bastion Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Ancient Bastion Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Ancient Bastion Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Ancient Warrior's Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Ancient Warrior's Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Ancient Warrior's Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Ancient Warrior's Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Barbarian Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Barbarian Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Barbarian Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Barbarian Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Braided Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Braided Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Braided Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Chest of the Cursed;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Chest of the Cursed;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Chest of the Cursed;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Chest of the Cursed;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Cobalt Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Cobalt Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Cobalt Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Cobalt Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Harpy Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Harpy Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Harpy Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Harpy Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
House of Horrors Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
House of Horrors Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
House of Horrors Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
House of Horrors Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Minotaur Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Minotaur Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Minotaur Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Minotaur Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Priest's Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Priest's Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Priest's Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Priest's Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Scarab Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Scarab Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Scarab Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Scorpion Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Scorpion Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Scorpion Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Scorpion Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Titansteel Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Titansteel Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Titansteel Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Titansteel Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Trillium Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Trillium Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Trillium Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Trillium Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Turtle Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Turtle Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Turtle Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Turtle Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Turtle Chest;epic Crypt;35;Level 35 epic Crypt;Epic Chests;3000;OK
White Wood Chest;epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
White Wood Chest;epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
White Wood Chest;epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
White Wood Chest;epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Olympus Chest;Event 11215 of Olympus;;Event 11215 of Olympus;;;diese Truhe als Fallback ignorieren
Olympus Chest;Event 11315 of Olympus;;Event 11315 of Olympus;;;diese Truhe als Fallback ignorieren
Olympus Chest;Event Trials of Olympus;;Event Trials of Olympus;;;diese Truhe als Fallback ignorieren
1 ndead Chest;heroic Monster;16;Level 16 heroic Monster;Heroic Chests;40;OK
Barbarian Chest;heroic Monster;19;Level 19 heroic Monster;Heroic Chests;40;OK
Barbarian Chest;heroic Monster;24;Level 24 heroic Monster;Heroic Chests;75;OK
Cursed Chest;heroic Monster;18;Level 18 heroic Monster;Heroic Chests;40;OK
Cursed Chest;heroic Monster;23;Level 23 heroic Monster;Heroic Chests;75;OK
Elven Chest;heroic Monster;17;Level 17 heroic Monster;Heroic Chests;40;OK
Elven Chest;heroic Monster;22;Level 22 heroic Monster;Heroic Chests;75;OK
Elven Chest;heroic Monster;27;Level 27 heroic Monster;Heroic Chests;150;OK
Inferno Chest;heroic Monster;20;Level 20 heroic Monster;Heroic Chests;75;OK
Inferno Chest;heroic Monster;25;Level 25 heroic Monster;Heroic Chests;150;OK
Undead Chest;heroic Monster;16;Level 16 heroic Monster;Heroic Chests;40;OK
Undead Chest;heroic Monster;21;Level 21 heroic Monster;Heroic Chests;75;OK
Jormungandr's Chest;Jormungandr Shop;;Jormungandr Shop;Jormungandr Chests;0;OK
Elven Citadel Chest;Level 10 Citadel;10;Level 10 Citadel;Elven Chests;20;OK
Barbarian Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Bone Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Cobra Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Elegant Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Fire Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Forgotten Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Gnome Workshop Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Infernal Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Mayan Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Orc Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Sand Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Stone Chest;Level 10 Crypt;10;Level 10 Crypt;Common Chests;10;OK
Rare Dragon Chest;Level 10 rare Crypt;10;Level 10 rare Crypt;Rare Chests;16;OK
Elven Citadel Chest;Level 15 Citadel;15;Level 15 Citadel;Elven Chests;40;OK
Barbarian Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Bone Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Cobra Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Elegant Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Fire Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Forgotten Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Gnome Workshop Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Infernal Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Mayan Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Orc Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Sand Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Stone Chest;Level 15 Crypt;15;Level 15 Crypt;Common Chests;20;OK
Abandoned Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Ancient Bastion Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Ancient Warrior's Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Barbarian Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Braided Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Chest of the Cursed;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Cobalt Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Harpy Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
House of Horrors Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Priest's Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Scarab Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Scorpion Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Titansteel Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Trillium Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Turtle Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
White Wood Chest;Level 15 epic Crypt;15;Level 15 epic Crypt;Epic Chests;60;OK
Rare Dragon Chest;Level 15 rare Crypt;15;Level 15 rare Crypt;Rare Chests;40;OK
Cursed Citadel Chest;Level 20 Citadel;20;Level 20 Citadel;Cursed Chests;80;OK
Elven Citadel Chest;Level 20 Citadel;20;Level 20 Citadel;Elven Chests;80;OK
Barbarian Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Bone Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Cobra Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Elegant Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Fire Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Forgotten Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Gnome Workshop Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Infernal Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Mayan Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Orc Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Sand Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Stone Chest;Level 20 Crypt;20;Level 20 Crypt;Common Chests;64;OK
Abandoned Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Ancient Bastion Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Ancient Warrior's Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Barbarian Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Braided Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Chest of the Cursed;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Cobalt Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Harpy Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
House of Horrors Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Minotaur Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Priest's Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Scarab Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Scorpion Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Titansteel Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Trillium Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Turtle Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
White Wood Chest;Level 20 epic Crypt;20;Level 20 epic Crypt;Epic Chests;192;OK
Rare Dragon Chest;Level 20 rare Crypt;20;Level 20 rare Crypt;Rare Chests;128;OK
Cursed Citadel Chest;Level 25 Citadel;25;Level 25 Citadel;Cursed Chests;170;OK
Elven Citadel Chest;Level 25 Citadel;25;Level 25 Citadel;Elven Chests;170;OK
Barbarian Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Bone Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Cobra Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Elegant Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Fire Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Forgotten Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Gnome Workshop Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Infernal Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Mayan Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Orc Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Sand Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Stone Chest;Level 25 Crypt;25;Level 25 Crypt;Common Chests;256;OK
Ancient Bastion Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Ancient Warrior's Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Barbarian Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Braided Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Chest of the Cursed;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Cobalt Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Harpy Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Priest's Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Scarab Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Scorpion Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Trillium Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Turtle Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
White Wood Chest;Level 25 epic Crypt;25;Level 25 epic Crypt;Epic Chests;768;OK
Rare Dragon Chest;Level 25 rare Crypt;25;Level 25 rare Crypt;Rare Chests;350;OK
Elven Citadel Chest;Level 30 Citadel;30;Level 30 Citadel;Elven Chests;350;OK
Ancient Bastion Chest;Level 30 epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Ancient Warrior's Chest;Level 30 epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Cobalt Chest;Level 30 epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Harpy Chest;Level 30 epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Turtle Chest;Level 30 epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
White Wood Chest;Level 30 epic Crypt;30;Level 30 epic Crypt;Epic Chests;1500;OK
Rare Dragon Chest;Level 30 rare Crypt;30;Level 30 rare Crypt;Rare Chests;1280;OK
Ancient Warrior's Chest;Level 35 epic Crypt;35;Level 35 epic Crypt;Epic Chests;3000;OK
Barbarian Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Bone Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Cobra Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Elegant Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Fire Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Forgotten Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Gnome Workshop Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Infernal Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Mayan Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Orc Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Sand Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Stone Chest;Level 5 Crypt;5;Level 5 Crypt;Common Chests;2;OK
Elven Citadel Chest;Level Citadel;;Level Citadel;Elven Chests;;diese Truhe als Fallback ignorieren
Fire Chest;Level Crypt;;Level Crypt;;;diese Truhe als Fallback ignorieren
Mayan Chest;Level Crypt;;Level Crypt;;;diese Truhe als Fallback ignorieren
Sand Chest;Level Crypt;;Level Crypt;;;diese Truhe als Fallback ignorieren
Rare Dragon Chest;Level rare Crypt;;Level rare Crypt;Rare Chests;;diese Truhe als Fallback ignorieren
Runic Chest;Lvl 20-24 Raid Runic squad;;Lvl 20-24 Raid Runic squad;Runic Chests;0;OK
Runic Chest;Lvl 25-29 Raid Runic squad;;Lvl 25-29 Raid Runic squad;Runic Chests;0;OK
Runic Chest;Lvl 30-34 Raid Runic squad;;Lvl 30-34 Raid Runic squad;Runic Chests;0;OK
Runic Chest;Lvl 35-39 Raid Runic squad;;Lvl 35-39 Raid Runic squad;Runic Chests;0;OK
Runic Chest;Lvl 40-44 Raid Runic squad;;Lvl 40-44 Raid Runic squad;Runic Chests;0;OK
Merchant's Chest;Mercenary Exchange;;Mercenary Exchange;;;diese Truhe als Fallback ignorieren
Pacified Mimic Chest;Mimic Chest;;Mimic Chest;;;diese Truhe als Fallback ignorieren
